t,VRc,Cid
1.454665697829714e-002,4.656353,1
1.455151239415399e-002,4.633822,1
1.455798628196313e-002,4.603992,1
1.457093405758140e-002,4.545316,1
1.459682960881794e-002,4.436069,1
1.463497637917068e-002,4.311644,1
1.467780508898086e-002,4.24107,1
1.470235803398185e-002,4.249248,1
1.471933879709372e-002,4.286139,1
1.473641230278129e-002,4.347716,1
1.475993933738592e-002,4.460192,1
1.478118034865125e-002,4.582075,1
1.481564645665117e-002,4.786923,1
1.487073369128739e-002,5.013107,1
1.493570426331520e-002,5.053515,1
1.496614923083275e-002,4.96367,1
1.500811746188008e-002,4.766008,1
1.504311449236489e-002,4.602387,1
1.509320170084879e-002,4.384559,1
1.512329662697090e-002,4.271731,1
1.512869178473886e-002,4.256565,1
1.513948210027479e-002,4.236167,1
1.516106273134664e-002,4.222556,1
1.520422399349035e-002,4.262652,1
1.522073756137675e-002,4.306539,1
1.523810276977825e-002,4.381657,1
1.526057106006499e-002,4.50322,1
1.528220817042651e-002,4.638773,1
1.531730731378931e-002,4.859606,1
1.537334837745723e-002,5.082101,1
1.544747509334702e-002,5.085093,1
1.547878044353952e-002,4.977484,1
1.551675758940991e-002,4.803941,1
1.556156217412133e-002,4.630492,1
1.556223787135488e-002,4.628465,1
1.556629205475616e-002,4.618068,1
1.557169763262454e-002,4.602838,1
1.558250878836128e-002,4.569731,1
1.560413109983478e-002,4.505298,1
1.564737572278178e-002,4.411851,1
1.568856961801879e-002,4.384095,1
1.570908584192517e-002,4.407484,1
1.572439324343709e-002,4.449269,1
1.574253937258669e-002,4.519707,1
1.576222530645080e-002,4.615286,1
1.578489914142860e-002,4.74261,1
1.582165161606911e-002,4.943073,1
1.588016621188485e-002,5.135315,1
1.594030089536828e-002,5.111747,1
1.596883129303691e-002,5.007738,1
1.600522289620064e-002,4.836701,1
1.604748139405053e-002,4.6565,1
1.604823012095892e-002,4.653699,1
1.604972757477571e-002,4.648487,1
1.605272248240929e-002,4.637509,1
1.605871229767644e-002,4.613708,1
1.607069192821074e-002,4.562268,1
