time	V(n001)-V(n005)	V(n003)	V(n004)
2.846226928257411e-003	-6.319118e+000	-9.082869e+000	5.044370e+000
2.855992553257411e-003	-6.748718e+000	-9.318470e+000	5.469739e+000
2.865758178257411e-003	-7.091797e+000	-9.421653e+000	5.809669e+000
2.873587291173914e-003	-7.294535e+000	-9.401131e+000	6.010634e+000
2.881974875684932e-003	-7.430021e+000	-9.268936e+000	6.144971e+000
2.891740500684932e-003	-7.489392e+000	-8.988869e+000	6.203845e+000
2.901506125684932e-003	-7.443564e+000	-8.579797e+000	6.158400e+000
2.911271750684932e-003	-7.288765e+000	-8.042991e+000	6.004918e+000
2.921037375684932e-003	-7.026782e+000	-7.386551e+000	5.745243e+000
2.930803000684931e-003	-6.661128e+000	-6.620359e+000	5.382995e+000
2.940568625684931e-003	-6.196936e+000	-5.755939e+000	4.923476e+000
2.950334250684931e-003	-5.640820e+000	-4.806278e+000	4.373581e+000
2.960099875684931e-003	-5.000700e+000	-3.785636e+000	3.741700e+000
2.969865500684931e-003	-4.285536e+000	-2.709326e+000	3.037640e+000
2.979631125684930e-003	-3.504646e+000	-1.593466e+000	2.272644e+000
2.989396750684930e-003	-2.665456e+000	-4.546898e-001	1.459846e+000
2.999162375684930e-003	-1.419959e+000	6.953638e-001	6.762731e-001
3.008928000684930e-003	2.183018e-001	1.850018e+000	2.493797e-001
3.018693625684930e-003	1.406768e+000	2.990181e+000	3.985263e-001
3.028459250684929e-003	2.044459e+000	4.083856e+000	8.660140e-001
3.038224875684929e-003	2.636437e+000	5.106678e+000	1.429354e+000
3.047990500684929e-003	3.289116e+000	6.044902e+000	2.061864e+000
3.057756125684929e-003	3.963717e+000	6.887255e+000	2.721453e+000
3.067521750684928e-003	4.629025e+000	7.623055e+000	3.375317e+000
3.077287375684928e-003	5.260249e+000	8.242614e+000	3.997668e+000
3.087053000684928e-003	5.837598e+000	8.737570e+000	4.568038e+000
3.096818625684928e-003	6.345142e+000	9.101137e+000	5.070128e+000
3.106584250684928e-003	6.770212e+000	9.328300e+000	5.491030e+000
3.116349875684927e-003	7.107034e+000	9.421591e+000	5.824771e+000
3.124550742482549e-003	7.314235e+000	9.392483e+000	6.030165e+000
3.132333017806371e-003	7.435237e+000	9.263346e+000	6.150144e+000
3.142098642806371e-003	7.489155e+000	8.976110e+000	6.203610e+000
3.151864267806371e-003	7.439442e+000	8.562223e+000	6.154312e+000
3.161629892806371e-003	7.280752e+000	8.020870e+000	5.996973e+000
3.171395517806370e-003	7.014950e+000	7.360216e+000	5.733518e+000
3.181161142806370e-003	6.645620e+000	6.590207e+000	5.367636e+000
3.190926767806370e-003	6.177957e+000	5.722422e+000	4.904698e+000
3.200692392806370e-003	5.618631e+000	4.769899e+000	4.351657e+000
3.210458017806370e-003	4.975608e+000	3.746939e+000	3.716960e+000
3.220223642806369e-003	4.257879e+000	2.668890e+000	3.010465e+000
3.229989267806369e-003	3.474757e+000	1.551894e+000	2.243474e+000
3.239754892806369e-003	2.633449e+000	4.125971e-001	1.429223e+000
3.249520517806369e-003	1.340894e+000	-7.380251e-001	6.528708e-001
3.259286142806368e-003	-3.290295e-001	-1.893716e+000	2.366038e-001
3.269051767806368e-003	-1.448460e+000	-3.033664e+000	3.877663e-001
3.278817392806368e-003	-2.039225e+000	-4.124781e+000	8.614733e-001
3.288583017806368e-003	-2.643434e+000	-5.144010e+000	1.436152e+000
3.298348642806368e-003	-3.303056e+000	-6.078467e+000	2.075462e+000
