time	V(vin)	V(vout)	I(R1)
1.028509555417523e-001	0.000000e+000	-1.226003e+000	4.747128e-005
1.028745571114472e-001	0.000000e+000	-1.202667e+000	-2.368388e-004
1.028980931828478e-001	0.000000e+000	-1.108805e+000	-4.951913e-004
1.029346079684296e-001	0.000000e+000	-8.549654e-001	-8.198302e-004
1.029735823931974e-001	0.000000e+000	-4.923995e-001	-1.054761e-003
1.030019969348845e-001	0.000000e+000	-1.854850e-001	-1.129843e-003
1.030282563273794e-001	0.000000e+000	1.086164e-001	-1.111695e-003
1.030551023581049e-001	0.000000e+000	3.923239e-001	-1.012923e-003
1.030859937482223e-001	0.000000e+000	6.676560e-001	-8.133790e-004
1.031254461215767e-001	0.000000e+000	9.243768e-001	-4.723809e-004
1.031545766067869e-001	0.000000e+000	1.034432e+000	-1.817017e-004
1.031736681527050e-001	0.000000e+000	1.051592e+000	1.783699e-005
1.031997711883167e-001	0.000000e+000	1.007663e+000	2.819522e-004
1.032259109795729e-001	0.000000e+000	8.964410e-001	5.146582e-004
1.032655801148821e-001	0.000000e+000	6.278661e-001	7.814167e-004
1.033066501990844e-001	0.000000e+000	2.761928e-001	9.431082e-004
1.033347601883955e-001	0.000000e+000	9.937760e-003	9.663571e-004
1.033610848369733e-001	0.000000e+000	-2.374499e-001	9.127150e-004
1.033875650841371e-001	0.000000e+000	-4.591558e-001	7.928270e-004
1.034247331843359e-001	0.000000e+000	-7.023941e-001	5.452783e-004
1.034614951655281e-001	0.000000e+000	-8.592046e-001	2.466306e-004
1.034845211928066e-001	0.000000e+000	-8.992215e-001	4.259608e-005
1.035078386747496e-001	0.000000e+000	-8.850232e-001	-1.640328e-004
1.035309325914802e-001	0.000000e+000	-8.199836e-001	-3.514380e-004
1.035669594914938e-001	0.000000e+000	-6.401948e-001	-5.904234e-004
1.036055907853132e-001	0.000000e+000	-3.798729e-001	-7.672826e-004
1.036340549064085e-001	0.000000e+000	-1.554759e-001	-8.277646e-004
1.036603000322872e-001	0.000000e+000	6.050296e-002	-8.194800e-004
1.036872024557159e-001	0.000000e+000	2.711042e-001	-7.519616e-004
1.037170736411334e-001	0.000000e+000	4.706805e-001	-6.154665e-004
1.037562386910848e-001	0.000000e+000	6.649507e-001	-3.718064e-004
1.037864778738239e-001	0.000000e+000	7.554058e-001	-1.524057e-004
1.038053587034084e-001	0.000000e+000	7.725008e-001	-7.545241e-006
1.038300138162309e-001	0.000000e+000	7.487209e-001	1.775339e-004
1.038548504239586e-001	0.000000e+000	6.786542e-001	3.445225e-004
1.038932064361327e-001	0.000000e+000	4.991254e-001	5.466020e-004
1.039331506119691e-001	0.000000e+000	2.561127e-001	6.800760e-004
1.039613618030080e-001	0.000000e+000	6.164953e-002	7.119304e-004
1.039876572339209e-001	0.000000e+000	-1.221472e-001	6.863291e-004
1.040143163087027e-001	0.000000e+000	-2.931273e-001	6.107406e-004
1.040484427294461e-001	0.000000e+000	-4.700409e-001	4.566665e-004
1.040888545341119e-001	0.000000e+000	-6.131941e-001	2.245110e-004
1.041151345609609e-001	0.000000e+000	-6.575899e-001	5.577078e-005
1.041372821221864e-001	0.000000e+000	-6.558713e-001	-8.941242e-005
1.041580650837259e-001	0.000000e+000	-6.205145e-001	-2.168079e-004
1.041921518951733e-001	0.000000e+000	-5.087336e-001	-3.942636e-004
1.042289763078723e-001	0.000000e+000	-3.381781e-001	-5.351608e-004
1.042595454077090e-001	0.000000e+000	-1.665617e-001	-5.995146e-004
1.042860487973261e-001	0.000000e+000	-6.983504e-003	-6.075547e-004
1.043140638857484e-001	0.000000e+000	1.580649e-001	-5.697724e-004
1.043407583858748e-001	0.000000e+000	2.971070e-001	-4.919932e-004
1.043789970683643e-001	0.000000e+000	4.510093e-001	-3.290817e-004
1.044150248243965e-001	0.000000e+000	5.439965e-001	-1.434927e-004
1.044371096865496e-001	0.000000e+000	5.657885e-001	-2.015187e-005
1.044608173731370e-001	0.000000e+000	5.544190e-001	1.115151e-004
1.044845051578391e-001	0.000000e+000	5.102471e-001	2.311880e-004
1.045211667642129e-001	0.000000e+000	3.917463e-001	3.807092e-004
1.045602709577635e-001	0.000000e+000	2.231372e-001	4.881470e-004
1.045886712698333e-001	0.000000e+000	8.132868e-002	5.216194e-004
1.046149353022375e-001	0.000000e+000	-5.433644e-002	5.121395e-004
1.046417617219380e-001	0.000000e+000	-1.847130e-001	4.654815e-004
1.046730044323092e-001	0.000000e+000	-3.122294e-001	3.712017e-004
1.047125577081728e-001	0.000000e+000	-4.293220e-001	2.124061e-004
1.047414198012457e-001	0.000000e+000	-4.780738e-001	7.909718e-005
1.047608558793889e-001	0.000000e+000	-4.852404e-001	-1.469176e-005
1.047858753160754e-001	0.000000e+000	-4.647565e-001	-1.312217e-004
1.048128437502906e-001	0.000000e+000	-4.109046e-001	-2.415956e-004
1.048518388688113e-001	0.000000e+000	-2.882792e-001	-3.615081e-004
1.048938005362240e-001	0.000000e+000	-1.217616e-001	-4.358877e-004
1.049221076444480e-001	0.000000e+000	1.963699e-003	-4.452413e-004
1.049484174642857e-001	0.000000e+000	1.156866e-001	-4.189391e-004
1.049748668306621e-001	0.000000e+000	2.169580e-001	-3.622009e-004
1.050125673337374e-001	0.000000e+000	3.290472e-001	-2.447754e-004
1.050486142497227e-001	0.000000e+000	3.982453e-001	-1.088148e-004
1.050710316897675e-001	0.000000e+000	4.151611e-001	-1.698240e-005
1.050945605858713e-001	0.000000e+000	4.076084e-001	7.907095e-005
1.051179871577884e-001	0.000000e+000	3.762683e-001	1.663272e-004
1.051543735291789e-001	0.000000e+000	2.910695e-001	2.763556e-004
1.051932645821182e-001	0.000000e+000	1.689332e-001	3.564561e-004
1.052216924950368e-001	0.000000e+000	6.507687e-002	3.825137e-004
1.052479484927611e-001	0.000000e+000	-3.455264e-002	3.769533e-004
1.052748088039755e-001	0.000000e+000	-1.309235e-001	3.440754e-004
1.053054448370578e-001	0.000000e+000	-2.239088e-001	2.776552e-004
1.053448247081624e-001	0.000000e+000	-3.115775e-001	1.629332e-004
1.053741446553226e-001	0.000000e+000	-3.499383e-001	6.407400e-005
1.053929842901149e-001	0.000000e+000	-3.561347e-001	-2.584748e-006
1.054198810713698e-001	0.000000e+000	-3.414035e-001	-9.491083e-005
1.054454502587428e-001	0.000000e+000	-3.050009e-001	-1.721972e-004
1.054856189516572e-001	0.000000e+000	-2.133078e-001	-2.642345e-004
1.055260767579284e-001	0.000000e+000	-9.632716e-002	-3.190564e-004
1.055540517872916e-001	0.000000e+000	-6.587473e-003	-3.275956e-004
1.055803745486549e-001	0.000000e+000	7.736855e-002	-3.102041e-004
1.056068758559340e-001	0.000000e+000	1.529644e-001	-2.703099e-004
1.056436786392842e-001	0.000000e+000	2.343620e-001	-1.876804e-004
1.056849505356381e-001	0.000000e+000	2.927222e-001	-7.413138e-005
1.057080149741173e-001	0.000000e+000	3.046960e-001	-5.094952e-006
1.057324751498928e-001	0.000000e+000	2.967483e-001	6.766165e-005
1.057571351413415e-001	0.000000e+000	2.699679e-001	1.336853e-004
1.057944670990782e-001	0.000000e+000	2.019684e-001	2.126746e-004
1.058344751192360e-001	0.000000e+000	1.065874e-001	2.673378e-004
1.058628202188653e-001	0.000000e+000	2.959821e-002	2.815134e-004
1.058891083198698e-001	0.000000e+000	-4.322841e-002	2.727448e-004
1.059158140001472e-001	0.000000e+000	-1.115847e-001	2.440984e-004
1.059491712681404e-001	0.000000e+000	-1.813411e-001	1.859206e-004
1.059893551122276e-001	0.000000e+000	-2.397380e-001	9.572667e-005
1.060163924508809e-001	0.000000e+000	-2.599506e-001	2.735016e-005
1.060354757070899e-001	0.000000e+000	-2.613270e-001	-2.237404e-005
1.060553162349703e-001	0.000000e+000	-2.505917e-001	-7.160528e-005
1.060863259202500e-001	0.000000e+000	-2.151008e-001	-1.389489e-004
1.061225057292593e-001	0.000000e+000	-1.531974e-001	-1.989104e-004
1.061575660620706e-001	0.000000e+000	-7.793149e-002	-2.336676e-004
1.061848680060697e-001	0.000000e+000	-1.345824e-002	-2.410628e-004
1.062113028103926e-001	0.000000e+000	4.883111e-002	-2.302570e-004
1.062379977189926e-001	0.000000e+000	1.058214e-001	-2.027192e-004
1.062734986627080e-001	0.000000e+000	1.658546e-001	-1.462858e-004
1.063143228222754e-001	0.000000e+000	2.115298e-001	-6.526711e-005
1.063390995498106e-001	0.000000e+000	2.233029e-001	-1.105116e-005
1.063624395839936e-001	0.000000e+000	2.201044e-001	4.037056e-005
1.063855029583828e-001	0.000000e+000	2.040832e-001	8.696951e-005
1.064212203145052e-001	0.000000e+000	1.599659e-001	1.460643e-004
1.064598907431086e-001	0.000000e+000	9.535385e-002	1.903747e-004
1.064883947708628e-001	0.000000e+000	3.956380e-002	2.057026e-004
1.065146377136577e-001	0.000000e+000	-1.413293e-002	2.038848e-004
1.065415520376766e-001	0.000000e+000	-6.660135e-002	1.873359e-004
1.065712241434539e-001	0.000000e+000	-1.160789e-001	1.538728e-004
1.066103364950263e-001	0.000000e+000	-1.646282e-001	9.360490e-005
1.066409035701122e-001	0.000000e+000	-1.876072e-001	3.856609e-005
1.066599800352685e-001	0.000000e+000	-1.920305e-001	2.192224e-006
1.066845700545530e-001	0.000000e+000	-1.862544e-001	-4.372499e-005
1.067093402140879e-001	0.000000e+000	-1.689909e-001	-8.519439e-005
1.067475825325305e-001	0.000000e+000	-1.246540e-001	-1.354633e-004
1.067874786264852e-001	0.000000e+000	-6.443555e-002	-1.688628e-004
1.068157030094049e-001	0.000000e+000	-1.610094e-002	-1.769989e-004
1.068419968124117e-001	0.000000e+000	2.961639e-002	-1.708327e-004
1.068686665329458e-001	0.000000e+000	7.223471e-002	-1.522240e-004
1.069026144136551e-001	0.000000e+000	1.161959e-001	-1.143252e-004
1.069429711788794e-001	0.000000e+000	1.520506e-001	-5.684670e-005
1.069694336114669e-001	0.000000e+000	1.634147e-001	-1.464562e-005
1.069914192523912e-001	0.000000e+000	1.632373e-001	2.121700e-005
1.070118347365929e-001	0.000000e+000	1.548561e-001	5.243822e-005
1.070457038227120e-001	0.000000e+000	1.277014e-001	9.664305e-005
1.070822363355233e-001	0.000000e+000	8.604722e-002	1.319281e-004
1.071133257253645e-001	0.000000e+000	4.285622e-002	1.487144e-004
1.071399076725517e-001	0.000000e+000	3.121306e-003	1.510916e-004
1.071685177796911e-001	0.000000e+000	-3.882572e-002	1.417702e-004
1.071951637358312e-001	0.000000e+000	-7.340913e-002	1.226377e-004
1.072334207896185e-001	0.000000e+000	-1.117998e-001	8.222519e-005
1.072697102786555e-001	0.000000e+000	-1.351775e-001	3.580487e-005
1.072918822711799e-001	0.000000e+000	-1.406531e-001	5.030978e-006
1.073155861074677e-001	0.000000e+000	-1.378403e-001	-2.769850e-005
1.073392672682363e-001	0.000000e+000	-1.268691e-001	-5.744629e-005
