time	V(vin)	V(vout)	I(L1)
1.587165823890560e-002	0.000000e+000	2.339409e-004	1.452684e-006
1.588776080938799e-002	0.000000e+000	2.809176e-005	1.083620e-006
1.590395270840934e-002	0.000000e+000	-1.237013e-004	7.876142e-007
1.591957919850509e-002	0.000000e+000	-2.270508e-004	5.629441e-007
1.594039595030767e-002	0.000000e+000	-3.161434e-004	3.353397e-007
1.596332492994275e-002	0.000000e+000	-3.730017e-004	1.485293e-007
1.597989488483575e-002	0.000000e+000	-3.924193e-004	4.882543e-008
1.599059300792789e-002	0.000000e+000	-3.954812e-004	9.697944e-010
1.600525215373217e-002	0.000000e+000	-3.914397e-004	-4.902553e-008
1.601957935647010e-002	0.000000e+000	-3.812991e-004	-8.484861e-008
1.604205530736227e-002	0.000000e+000	-3.572035e-004	-1.216637e-007
1.606409089270068e-002	0.000000e+000	-3.280690e-004	-1.413059e-007
1.609289670629785e-002	0.000000e+000	-2.859794e-004	-1.492022e-007
1.612055647319470e-002	0.000000e+000	-2.452866e-004	-1.453133e-007
1.614985334819470e-002	0.000000e+000	-2.044830e-004	-1.334968e-007
1.617077968748041e-002	0.000000e+000	-1.778016e-004	-1.215859e-007
1.619170602676613e-002	0.000000e+000	-1.534561e-004	-1.100075e-007
1.621263236605184e-002	0.000000e+000	-1.314464e-004	-9.876165e-008
1.623355870533756e-002	0.000000e+000	-1.117725e-004	-8.784827e-008
1.625448504462327e-002	0.000000e+000	-9.443457e-005	-7.726738e-008
1.627541138390899e-002	0.000000e+000	-7.943246e-005	-6.701900e-008
1.629633772319470e-002	0.000000e+000	-6.676622e-005	-5.710312e-008
1.635493147319471e-002	0.000000e+000	-3.965813e-005	-3.633102e-008
1.641352522319471e-002	0.000000e+000	-2.273753e-005	-2.215770e-008
1.650141584819471e-002	0.000000e+000	-9.235045e-006	-9.851930e-009
1.655950075613329e-002	0.000000e+000	-5.950948e-006	-6.500321e-009
1.661758566407187e-002	0.000000e+000	-3.320973e-006	-3.799005e-009
1.667567057201045e-002	0.000000e+000	-1.345118e-006	-1.747982e-009
1.673375547994903e-002	0.000000e+000	-2.338365e-008	-3.472521e-010
1.679184038788761e-002	0.000000e+000	6.442295e-007	4.031850e-010
1.684992529582619e-002	0.000000e+000	6.577219e-007	5.033292e-010
1.690801020376477e-002	0.000000e+000	1.709348e-008	-4.681962e-011
1.822290069468237e-002	0.000000e+000	-6.543065e-013	-5.220350e-016
2.000000000000000e-002	0.000000e+000	-1.483293e-020	-5.593233e-024
2.000000014285714e-002	7.142857e-001	-2.103247e-012	-7.046643e-010
2.000000028571429e-002	1.428571e+000	5.527822e-013	-2.367296e-009
2.000000042857143e-002	2.142857e+000	7.968087e-012	-4.987894e-009
2.000000057142857e-002	2.857143e+000	2.014267e-011	-8.566460e-009
2.000000071428571e-002	3.571429e+000	3.707652e-011	-1.310299e-008
2.000000085714286e-002	4.285714e+000	5.876966e-011	-1.859749e-008
2.000000100000000e-002	5.000000e+000	8.522207e-011	-2.504996e-008
2.000052928849202e-002	5.000000e+000	9.202348e-005	-2.626650e-005
2.000105757698403e-002	5.000000e+000	3.487253e-004	-5.219059e-005
2.000158586547604e-002	5.000000e+000	7.701056e-004	-7.779733e-005
2.000211415396806e-002	5.000000e+000	1.356164e-003	-1.030867e-004
2.000264244246007e-002	5.000000e+000	2.106901e-003	-1.280587e-004
2.000317073095208e-002	5.000000e+000	3.022317e-003	-1.527134e-004
2.000369901944410e-002	5.000000e+000	4.102411e-003	-1.770507e-004
2.000732240288952e-002	5.000000e+000	1.475179e-002	-3.375584e-004
2.001246799217712e-002	5.000000e+000	3.956518e-002	-5.460294e-004
2.002013970253611e-002	5.000000e+000	9.521379e-002	-8.180387e-004
2.003016087254064e-002	5.000000e+000	1.961064e-001	-1.111271e-003
2.004373331057099e-002	5.000000e+000	3.727275e-001	-1.412576e-003
2.006085273564238e-002	5.000000e+000	6.414032e-001	-1.665367e-003
2.008307128706999e-002	5.000000e+000	1.034418e+000	-1.832821e-003
2.011092799303281e-002	5.000000e+000	1.552037e+000	-1.872811e-003
2.014022486803281e-002	5.000000e+000	2.087687e+000	-1.784780e-003
